region,status,order_count,total_revenue,avg_order_value
us-west,DELIVERED,3414,6059736.26,1774.97
us-east,DELIVERED,3177,5912335.35,1860.98
eu-west,DELIVERED,2523,4284738.5,1698.27
eu-central,DELIVERED,1670,2994331.69,1793.01
ap-northeast,DELIVERED,1459,2594157.9,1778.04
ap-south,DELIVERED,1121,1951716.9,1741.05
us-west,SHIPPED,736,1237303.37,1681.12
us-east,SHIPPED,661,1199970.73,1815.39
eu-west,SHIPPED,585,1138971.9,1946.96
sa-east,DELIVERED,535,942664.25,1761.99
us-west,PENDING,521,935109.44,1794.84
us-east,PENDING,502,914858.43,1822.43
eu-west,PENDING,469,852019.17,1816.67
us-west,CANCELLED,458,842424.86,1839.36
ca-central,DELIVERED,463,786917.93,1699.61
eu-central,SHIPPED,382,681334.64,1783.6
us-east,CANCELLED,395,676286.35,1712.12
ap-northeast,SHIPPED,330,615060.3,1863.82
us-west,RETURNED,330,597502.43,1810.61
eu-west,CANCELLED,322,590951.4,1835.25
us-east,RETURNED,309,555845.85,1798.85
eu-west,RETURNED,259,526822.05,2034.06
ap-south,SHIPPED,270,499665.14,1850.61
eu-central,PENDING,268,445254.93,1661.4
eu-central,CANCELLED,236,395512.92,1675.9
ap-northeast,PENDING,224,378091.86,1687.91
ap-south,PENDING,190,371812.29,1956.91
ap-northeast,CANCELLED,189,327890.53,1734.87
eu-central,RETURNED,152,278598.48,1832.88
ap-northeast,RETURNED,135,261668.87,1938.29
ap-south,CANCELLED,142,248852.68,1752.48
ap-south,RETURNED,117,191663.76,1638.15
ca-central,SHIPPED,93,168920.69,1816.35
sa-east,SHIPPED,108,139753.77,1294.02
sa-east,PENDING,80,133077.35,1663.47
sa-east,CANCELLED,65,123208.33,1895.51
ca-central,PENDING,65,107544.89,1654.54
ca-central,CANCELLED,48,94306.64,1964.72
sa-east,RETURNED,52,87372.83,1680.25
ca-central,RETURNED,41,51210.61,1249.04
